Bat1,Out/NotOut,Runs,Balls Faced,Strike Rate,4s,6s,Opposition Rank,Opposition Index,Opposition,Ground,Home/Away,Start Date,Dot Ball %,Dot Ball,Scoring Shot,Middled,Left Alone,Control,Actual Control,Scoring Rate,Others,Running btw %,Win/Loss,Team Run,In @ Pos#,Pitch,Pitch Index,Weather,Exp Control,Impact
5,Out,5,7,71.42,1,0,2,5,v South Africa,Hobart,Home,18-Jan-09,71.4,5,2,3,3,0.857142857,,2.5,1,0.2,Win,249,2,Dead/Flat,1,Sunny,2.356418442,11.78209221
69,Out,69,60,115,6,2,2,5,v South Africa,Sydney,Home,23-Jan-09,43.3,26,34,47,2,0.816666667,,2.029411765,33,0.47826087,Loss,269,2,Dead/Flat,1,Clear,2.262944105,156.1431433
1,Out,1,7,14.28,0,0,2,5,v South Africa,Adelaide,Home,26-Jan-09,85.7,6,1,6,0,0.857142857,,1,1,1,Loss,222,2,Dead/Flat,1,Sunny,2.356418442,2.356418442
22,Out,22,29,75.86,1,1,2,5,v South Africa,Perth,Home,30-Jan-09,69,20,9,22,3,0.862068966,,2.444444444,12,0.545454545,Loss,249,2,Dead/Flat,1,Clear,2.368055054,52.09721119
7,Out,7,18,38.88,0,0,4,4,v New Zealand,Perth,Home,01-Feb-09,61.1,11,7,11,1,0.666666667,,1,7,1,Loss,181,2,Green,2,Clear,1.947734042,13.63413829
2,Out,2,11,18.18,0,0,4,4,v New Zealand,Melbourne,Home,06-Feb-09,81.8,9,2,6,0,0.545454545,,1,2,1,Loss,225,1,Dusty/Dry,1.5,Clear,1.725392473,3.450784945
0,Out,0,5,0,0,0,,1,v Scotland,Edinburgh,Away,28-Aug-09,100,5,0,3,0,0.6,,,0,,Win,345,2,Green,2,Overcast,1.8221188,0
20,Out,20,17,117.64,4,0,4,4,v South Africa,Centurion,Away,19-Oct-11,64.7,11,6,12,2,0.823529412,,3.333333333,4,0.2,Win,183,1,Green,2,Clear,2.278527525,45.5705505
74,Out,74,97,76.28,6,0,4,4,v South Africa,Gqeberha,Away,23-Oct-11,52.6,51,46,,,0.86,0.86,1.608695652,50,0.675675676,Loss,223,1,Green,2,Sunny,2.363160694,174.8738913
10,Out,10,18,55.55,1,0,4,4,v South Africa,Durban,Away,28-Oct-11,72.2,13,5,9,3,0.666666667,,2,6,0.6,Win,227,2,Green,2,Overcast,1.947734042,19.47734042
6,Out,6,14,42.85,0,0,2,5,v India,Melbourne,Home,05-Feb-12,71.4,10,4,9,1,0.714285714,,1.5,6,1,Win,216,2,Dusty/Dry,1.5,Overcast,2.04272707,12.25636242
34,Out,34,29,117.24,4,1,3,5,v Sri Lanka,Perth,Home,10-Feb-12,55.2,16,13,24,0,0.827586207,,2.615384615,12,0.352941176,Win,231,1,Green,2,Clear,2.287789819,77.78485385
18,Out,18,24,75,2,0,2,5,v India,Adelaide,Home,12-Feb-12,62.5,15,9,19,1,0.833333333,,2,10,0.555555556,Loss,268,1,Dead/Flat,1,Clear,2.30097589,41.41756602
13,Out,13,21,61.9,2,0,3,5,v Sri Lanka,Sydney,Home,17-Feb-12,66.7,14,7,18,0,0.857142857,,1.857142857,5,0.384615385,Loss,158,1,Dead/Flat,1,Overcast,2.356418442,30.63343975
43,Out,43,46,93.47,5,1,2,5,v India,Brisbane,Home,19-Feb-12,58.7,27,19,35,0,0.760869565,,2.263157895,17,0.395348837,Win,288,2,Green,2,Clear,2.140136399,92.02586517
7,Out,7,13,53.84,0,0,3,5,v Sri Lanka,Hobart,Home,24-Feb-12,76.9,10,3,12,0,0.923076923,,2.333333333,7,1,Win,280,2,Dead/Flat,1,Sunny,2.517023174,17.61916222
68,Out,68,66,103.03,7,0,2,5,v India,Sydney,Home,26-Feb-12,48.5,32,34,,,0.81,0.81,2,40,0.588235294,Win,252,1,Dead/Flat,1,Overcast,2.247907987,152.8577431
6,Out,6,6,100,1,0,3,5,v Sri Lanka,Melbourne,Home,02-Mar-12,50,3,3,5,0,0.833333333,,2,2,0.333333333,Loss,229,2,Dusty/Dry ,1.5,Overcast,2.30097589,13.80585534
163,Out,163,157,103.82,13,2,3,5,v Sri Lanka,Brisbane,Home,04-Mar-12,42,66,91,,,0.81,0.81,1.791208791,99,0.607361963,Win,321,1,Dead/Flat,1,Clear,2.247907987,366.4090018
100,Out,100,140,71.42,4,1,3,5,v Sri Lanka,Adelaide,Home,06-Mar-12,46.4,65,75,127,0,0.907142857,,1.333333333,78,0.78,Loss,271,2,Dead/Flat ,1,Clear,2.477234599,247.7234599
48,Out,48,45,106.66,5,1,3,5,v Sri Lanka,Adelaide,Home,08-Mar-12,48.9,22,23,37,4,0.911111111,,2.086956522,22,0.458333333,Win,231,2,Green,2,Sunny,2.487084426,119.3800524
40,Out,40,55,72.72,5,0,9,3,v West Indies,Kingstown,Away,16-Mar-12,60,33,22,,,0.71,0.71,1.818181818,20,0.5,Win,204,2,Dusty/Dry,1.5,Sunny,2.033991259,81.35965035
13,Out,13,20,65,1,0,9,3,v West Indies,Kingstown,Away,18-Mar-12,70,14,6,17,0,0.85,,2.166666667,9,0.692307692,Loss,154,2,Dusty/Dry,1.5,Overcast,2.339646852,30.41540908
37,Out,37,51,72.54,6,0,9,3,v West Indies,Kingstown,Away,20-Mar-12,66.7,34,17,36,3,0.764705882,,2.176470588,13,0.351351351,Draw,220,2,Dusty/Dry,1.5,Clear,2.14836241,79.48940916
1,Out,1,4,25,0,0,9,3,v West Indies,Gros Islet,Away,23-Mar-12,75,3,1,2,,0.5,,1,1,1,Loss,252,2,Dusty/Dry,1.5,Sunny,1.648721271,1.648721271
69,Out,69,61,113.11,10,1,9,3,v West Indies,Gros Islet,Away,25-Mar-12,49.2,30,31,,,0.84,0.84,2.225806452,23,0.333333333,Win,281,2,Dusty/Dry ,1.5,Clear,2.316366977,159.8293214
TDNB,,,,,,,11,2,v Ireland,Belfast,Away,23-Jun-12,,,,,,,,,,,No Result,,,Green,2,,,
56,Out,56,61,91.8,6,1,4,4,v England,Lord's,Away,29-Jun-12,54.1,33,28,50,1,0.836065574,,2,26,0.464285714,Loss,257,2,Green,2,Overcast,2.307271307,129.2071932
10,Out,10,20,50,2,0,4,4,v England,The Oval,Away,01-Jul-12,80,16,4,10,2,0.6,,2.5,2,0.2,Loss,251,2,Green,2,Clear,1.8221188,18.221188
2,Out,2,19,10.52,0,0,4,4,v England,Chester-le-Street,Away,07-Jul-12,89.5,17,2,9,6,0.789473684,,1,2,1,Loss,200,2,Green,2,Overcast,2.202237049,4.404474097
32,Out,32,32,100,4,1,4,4,v England,Manchester,Away,10-Jul-12,59.4,19,13,21,3,0.75,,2.461538462,10,0.3125,Loss,145,2,,,Overcast,2.117000017,67.74400053
24,Out,24,18,133.33,4,0,,1,v Afghanistan,Sharjah,Away,25-Aug-12,44.4,8,10,15,0,0.833333333,,2.4,8,0.333333333,Win,272,2,Green,2,Sunny,2.30097589,55.22342136
5,Out,5,11,45.45,1,0,6,4,v Pakistan,Sharjah,Away,28-Aug-12,81.8,9,2,7,,0.636363636,,2.5,1,0.2,Win,199,1,Green,2,Sunny,1.889597108,9.44798554
24,Out,24,68,35.29,2,0,6,4,v Pakistan,Abu Dhabi,Away,31-Aug-12,75,51,17,54,2,0.823529412,,1.411764706,16,0.666666667,Loss,248,2,Green,2,Sunny,2.278527525,54.6846606
