Bat1,Out/NotOut,Runs,Balls Faced,Strike Rate,4s,6s,Opposition Rank,Opposition Index,Opposition,Ground,Home/Away,Start Date,Dot Ball %,Dot Ball,Scoring Shot,Middled,Left Alone,Control,Actual Control,Scoring Rate,Others,Running btw %,Win/Loss,Team Run,In @ Pos#,Pitch,Pitch Index,Weather,Exp Control,Impact
0,Out,0,9,0,0,0,2,5,v India,Dambulla,Neutral,10-Aug-10,100,9,0,5,0,0.555555556,,0,0,0,Win,288,4,Green,2,Clear,1.742908999,0
0,Out,0,2,0,0,0,6,4,v Sri Lanka,Dambulla,Away,13-Aug-10,100,2,0,1,0,0.5,,0,0,0,Loss,192,4,Dusty/Dry,1.5,Sunny,1.648721271,0
TDNB,,,,,,,6,4,v Sri Lanka,Dambulla,Away,19-Aug-10,,,,,,,,,,,No Result,,,,,,,
13,Out,13,27,48.14,1,0,2,5,v India,Dambulla,Neutral,25-Aug-10,74.1,20.007,6.993,17,4,0.777777778,,1.859001859,9,0.692307692,Loss,118,6,Green,2,Sunny,2.176629932,28.29618912
108,Out,108,132,81.81,6,2,9,3,v Bangladesh,Mirpur,Away,14-Oct-10,48.5,64.02,67.98,,,0.88,0.88,1.58870256,72,0.666666667,Loss,232,5,Green,2,Sunny,2.410899706,260.3771682
0,Out,0,6,0,0,0,9,3,v Bangladesh,Mirpur,Away,17-Oct-10,100,6,0,3,0,0.5,,0,0,0,Loss,171,5,Green,2,Clear,1.648721271,0
25,Out,25,51,49.01,0,0,2,5,v India,Guwahati,Away,28-Nov-10,54.9,27.999,23.001,25,2,0.529411765,,1.086909265,25,1,Loss,236,3,Green,2,Clear,1.697933231,42.44833078
29,Out,29,46,63.04,4,0,2,5,v India,Jaipur,Away,01-Dec-10,65.2,29.992,16.008,27,1,0.608695652,,1.811594203,13,0.448275862,Loss,258,3,Dead/Flat,1,Sunny,1.838032401,53.30293963
21,Out,21,50,42,1,0,2,5,v India,Vadodara,Away,04-Dec-10,78,39,11,35,6,0.82,,1.909090909,17,0.80952381,Loss,224,3,Dead/Flat,1,Sunny,2.270499838,47.6804966
42,Out,42,63,66.66,1,0,7,3,v Pakistan,Christchurch,Home,29-Jan-11,46,28.98,34.02,55,2,0.904761905,,1.234567901,38,0.904761905,Loss,250,5,Dusty/Dry,1.5,Clear,2.471343438,103.7964244
15,Out,15,36,41.66,1,0,7,3,v Pakistan,Napier,Home,01-Feb-11,72.2,25.992,10.008,18,1,0.527777778,,1.498800959,11,0.733333333,Loss,262,5,Dead/Flat,1,Sunny,1.695161096,25.42741644
34*,Not Out,34,27,125.92,4,0,,1,v Canada,Wankhede,Neutral,13-Mar-11,37,9.99,17.01,23,0,0.851851852,,1.998824221,18,0.529411765,Win,358,6,Dead/Flat,1,Clear,2.343983546,79.69544056
5,Out,5,8,62.5,0,0,6,4,v Sri Lanka,Wankhede,Neutral,18-Mar-11,62.5,5,3,5,0,0.625,,1.666666667,5,1,Loss,153,5,Green,2,Clear,1.868245957,9.341229785
38*,Not Out,38,41,92.68,1,1,3,5,v South Africa,Mirpur,Neutral,25-Mar-11,43.9,17.999,23.001,32,2,0.829268293,,1.652102083,28,0.736842105,Win,221,5,Dead/Flat,1,Sunny,2.291641317,87.08237005
22,Out,22,16,137.5,3,0,6,4,v Sri Lanka,Colombo (RPS),Away,29-Mar-11,31.2,4.992,11.008,11,0,0.6875,,1.998546512,10,0.454545455,Loss,217,6,Dusty/Dry,1.5,Sunny,1.98873747,43.75222434
DNB,,,,,,,11,2,v Zimbabwe,Harare,Away,20-Oct-11,,,,,,,,,,,Win,232,,Dead/Flat,1,Sunny,,
14*,Not Out,14,18,77.77,1,0,11,2,v Zimbabwe,Harare,Away,22-Oct-11,50,9,9,15,0,0.833333333,,1.555555556,10,0.714285714,Win,261,5,Green,2,Sunny,2.30097589,32.21366246
100*,Not Out,100,69,144.92,11,1,11,2,v Zimbabwe,Bulawayo,Away,25-Oct-11,23.2,16.008,52.992,,,0.74,0.74,1.887077295,50,0.5,Loss,328,6,Dead/Flat,1,Sunny,2.095935514,209.5935514
35,Out,35,53,66.03,4,0,11,2,v Zimbabwe,Dunedin,Home,03-Feb-12,66,34.98,18.02,36,3,0.735849057,,1.942286349,19,0.542857143,Win,258,4,Green,2,Clear,2.087253438,73.05387033
4,Out,4,8,50,0,0,11,2,v Zimbabwe,Whangarei,Home,06-Feb-12,62.5,5,3,7,0,0.875,,1.333333333,4,1,Win,372,5,Dead/Flat,1,Overcast,2.398875294,9.595501176
38,Out,38,40,95,3,0,11,2,v Zimbabwe,Napier,Home,09-Feb-12,42.5,17,23,37,0,0.925,,1.652173913,26,0.684210526,Win,373,5,Dead/Flat,1,Sunny,2.52186826,95.83099388
55,Out,55,69,79.71,4,0,4,4,v South Africa,Wellington,Home,25-Feb-12,42,28.98,40.02,59,1,0.869565217,,1.374312844,39,0.709090909,Loss,253,4,Dead/Flat,1,Clear,2.385873291,131.223031
13,Out,13,18,72.22,0,0,4,4,v South Africa,Napier,Home,29-Feb-12,50,9,9,14,1,0.833333333,,1.444444444,13,1,Loss,230,4,Dead/Flat,1,Sunny,2.30097589,29.91268657
22,Out,22,43,51.16,1,0,4,4,v South Africa,Auckland,Home,03-Mar-12,62.8,27.004,15.996,34,2,0.837209302,,1.375343836,18,0.818181818,Loss,206,4,Green,2,Windy,2.309911708,50.81805758
24,Out,24,52,46.15,1,0,8,3,v West Indies,Kingston,Away,05-Jul-12,65.4,34.008,17.992,40,4,0.846153846,,1.333926189,20,0.833333333,Loss,190,4,Dead/Flat,1,Sunny,2.330665493,55.93597183
58,Out,58,65,89.23,4,1,8,3,v West Indies,Kingston,Away,07-Jul-12,46.2,30.03,34.97,47,0,0.723076923,,1.658564484,36,0.620689655,Loss,260,4,Dead/Flat,1,Sunny,2.060764279,119.5243282
9,Out,9,17,52.94,1,0,8,3,v West Indies,Basseterre,Away,11-Jul-12,64.7,10.999,6.001,13,0,0.764705882,,1.499750042,5,0.555555556,Win,249,4,Dead/Flat,1,Sunny,2.14836241,19.33526169
3,Out,3,12,25,0,0,8,3,v West Indies,Basseterre,Away,14-Jul-12,83.3,9.996,2.004,10,0,0.833333333,,1.497005988,3,1,Loss,240,5,Dead/Flat,1,Overcast,2.30097589,6.90292767
69,Out,69,84,82.14,5,1,8,3,v West Indies,Basseterre,Away,16-Jul-12,51.2,43.008,40.992,,,0.83,0.83,1.683255269,43,0.623188406,Loss,221,5,Dusty/Dry,1.5,Sunny,2.29331874,158.2389931
DNB,,,,,,,5,4,v Sri Lanka,Pallekele,Away,04-Nov-12,,,,,,,,,,,Loss,250,,Dead/Flat,1,Sunny,,
5,Out,5,6,83.33,0,0,5,4,v Sri Lanka,Pallekele,Away,06-Nov-12,33.3,1.998,4.002,5,0,0.833333333,,1.249375312,5,1,Loss,188,7,Dusty/Dry,1.5,Overcast,2.30097589,11.50487945
21,Out,21,29,72.41,2,0,5,4,v Sri Lanka,Hambantota,Away,10-Nov-12,51.7,14.993,14.007,21,3,0.827586207,,1.499250375,13,0.619047619,Loss,131,5,Dead/Flat,1,Overcast,2.287789819,48.0435862
TDNB,,,,,,,5,4,v Sri Lanka,Hambantota,Away,12-Nov-12,,,,,,,,,,,No Result,,,,,,,0
5,Out,5,15,33.33,1,0,2,5,v South Africa,Paarl,Away,19-Jan-13,86.7,13.005,1.995,8,4,0.8,,2.506265664,1,0.2,Win,209,4,Green,2,Clear,2.225540928,11.12770464
145*,Not Out,145,136,106.61,17,1,2,5,v South Africa,Kimberley,Away,22-Jan-13,43.4,59.024,76.976,,,0.82,0.82,1.883704012,71,0.489655172,Win,279,3,Green,2,Clear,2.270499838,329.2224765
6,Out,6,17,35.29,1,0,2,5,v South Africa,Potchefstroom,Away,25-Jan-13,82.4,14.008,2.992,9,4,0.764705882,,2.005347594,2,0.333333333,Loss,260,3,Dead/Flat,1,Sunny,2.14836241,12.89017446
74,Out,74,99,74.74,6,0,4,4,v England,Hamilton,Home,17-Feb-13,50.5,49.995,49.005,82,3,0.858585859,,1.510049995,50,0.675675676,Win,259,3,Green,2,Clear,2.359821213,174.6267698
33,Out,33,47,70.21,3,0,4,4,v England,Napier,Home,20-Feb-13,53.2,25.004,21.996,36,3,0.829787234,,1.500272777,21,0.636363636,Loss,269,3,Dead/Flat,1,Sunny,2.292830852,75.66341812
