Bat1,Out/NotOut,Runs,Balls Faced,Strike Rate,4s,6s,Opposition Rank,Opposition Index,Opposition,Ground,Home/Away,Start Date,Dot Ball %,Dot Ball,Scoring Shot,Middled,Left Alone,Control,Actual Control,Scoring Rate,Others,Running btw %,Win/Loss,Team Run,In @ Pos#,Pitch,Pitch Index,Weather,Exp Control,Impact
DNB,,,,,,,10,2,v Ireland,Belfast,Away,23-Jun-07,,,,,,,,,,,Win,171,,Green,2,Overcast,,
8,Out,8,9,88.88,0,0,2,5,v South Africa,Belfast,Neutral,26-Jun-07,33.3,3,6,6,0,0.666666667,,1.333333333,8,1,Loss,242,7,Green,2,Clear,1.947734042,15.58187233
1,Out,1,4,25,0,0,1,5,v Australia,Hyderabad (Deccan),Home,05-Oct-07,75,3,1,2,0,0.5,,1,1,1,Loss,243,7,Dead/Flat,1,Overcast,1.648721271,1.648721271
52,Out,52,61,85.24,3,1,5,4,v Pakistan,Jaipur,Home,18-Nov-07,47.5,29,32,42,5,0.770491803,,1.625,34,0.653846154,Loss,275,5,Dead/Flat,1,Sunny,2.160828695,112.3630921
29,Out,29,43,67.44,5,0,1,5,v Australia,Brisbane,Away,03-Feb-08,67.4,29,14,33,3,0.837209302,,2.071428571,9,0.310344828,No Result,194,4,Green,2,Clear,2.309911708,66.98743952
0,Out,0,2,0,0,0,4,4,v Sri Lanka,Brisbane,Neutral,05-Feb-08,100,2,0,1,0,0.5,,0,0,0,No Result,267,5,Green,2,Overcast,1.648721271,0
39*,Not Out,39,61,63.93,2,0,1,5,v Australia,Melbourne,Away,10-Feb-08,55.7,34,27,51,2,0.868852459,,1.444444444,31,0.794871795,Win,160,6,Green,2,Overcast,2.384173346,92.98276051
70*,Not Out,70,64,109.37,6,1,4,4,v Sri Lanka,Canberra,Neutral,12-Feb-08,37.5,24,40,51,1,0.8125,0.81,1.75,40,0.571428571,Loss,195,4,Green,2,Overcast,2.253534787,157.7474351
1,Out,1,3,33.33,0,0,1,5,v Australia,Adelaide,Away,17-Feb-08,66.7,2,1,1,0,0.333333333,,1,1,1,Loss,153,4,Dusty/Dry,1.5,Sunny,1.395612425,1.395612425
24,Out,24,36,66.66,1,0,4,4,v Sri Lanka,Adelaide,Neutral,19-Feb-08,52.8,19,17,31,0,0.861111111,,1.411764706,20,0.833333333,Win,239,4,Dusty/Dry,1.5,Sunny,2.365787887,56.77890928
1,Out,1,3,33.33,0,0,1,5,v Australia,Sydney,Away,24-Feb-08,66.7,2,1,2,0,0.666666667,,1,1,1,Loss,299,4,Dusty/Dry,1.5,Clear,1.947734042,1.947734042
3*,Not Out,3,7,42.85,0,0,4,4,v Sri Lanka,Hobart,Neutral,26-Feb-08,71.4,5,2,5,0,0.714285714,,1.5,3,1,Win,180,5,Green,2,Overcast,2.04272707,6.128181209
66,Out,66,87,75.86,6,0,1,5,v Australia,Sydney,Away,02-Mar-08,52.9,46,41,73,0,0.83908046,,1.609756098,42,0.636363636,Win,242,5,Dusty/Dry ,1.5,Clear,2.314237964,152.7397056
2,Out,2,5,40,0,0,1,5,v Australia,Brisbane,Away,04-Mar-08,60,3,2,4,0,0.8,,1,2,1,Win,258,6,Green,2,Clear,2.225540928,4.451081857
9,Out,9,27,33.33,0,0,5,4,v Pakistan,Mirpur,Neutral,10-Jun-08,70.4,19,8,21,1,0.814814815,,1.125,9,1,Win,330,5,Dead/Flat,1,Overcast,2.258757346,20.32881611
26,Out,26,43,60.46,1,1,9,3,v Bangladesh,Mirpur,Away,12-Jun-08,58.1,24,19,39,0,0.906976744,,1.368421053,16,0.615384615,Win,223,3,Dead/Flat,1,Overcast,2.476823132,64.39740144
24,Out,24,27,88.88,5,0,5,4,v Pakistan,Mirpur,Neutral,14-Jun-08,66.7,18,9,20,0,0.740740741,,2.666666667,4,0.166666667,Loss,315,3,Dusty/Dry,1.5,Sunny,2.097488635,50.33972724
11,Out,11,29,37.93,0,0,,1,v Hong Kong,Karachi,Neutral,25-Jun-08,62.1,18,11,28,0,0.965517241,,1,11,1,Win,374,3,Dusty/Dry,1.5,Sunny,2.626145655,28.88760221
0*,Not Out,0,1,0,0,0,5,4,v Pakistan,Karachi,Away,26-Jun-08,100,1,0,1,0,1,,0,0,0,Win,301,6,Dusty/Dry,1.5,Sunny,2.718281828,0
